// Start Time: Unknown
// Update Rate: 40.0Hz
// Filter Profile: human (46.1)
// Option Flags: AHS Disabled ICC Disabled 
// Firmware Version: 4.3.5
PacketCounter	SampleTimeFine	Acc_X	Acc_Y	Acc_Z	Quat_q0	Quat_q1	Quat_q2	Quat_q3	Vel_X	Vel_Y	Vel_Z
17128		-1.756677	1.936533	9.432732	0.988870	0.111137	0.084174	-0.051958			
17129		-1.729209	1.946281	9.377155	0.988791	0.111540	0.084283	-0.052413			
17130		-1.747208	1.985210	9.453780	0.988690	0.112202	0.084350	-0.052800			
17131		-1.792987	2.008138	9.444175	0.988585	0.112843	0.084385	-0.053334			
17132		-1.792321	1.967681	9.416388	0.988469	0.113467	0.084393	-0.054154			
17133		-1.821515	1.910930	9.440198	0.988307	0.114330	0.084312	-0.055402			
17134		-1.838806	1.935211	9.462009	0.988123	0.115272	0.084094	-0.057041			
17135		-1.883752	1.837685	9.482205	0.987900	0.116282	0.083764	-0.059284			
17136		-1.960444	1.664804	9.490154	0.987557	0.117853	0.083161	-0.062654			
17137		-2.086664	1.427036	9.483428	0.986995	0.120320	0.082216	-0.067858			
17138		-2.225152	1.272908	9.392351	0.986110	0.123932	0.080845	-0.075440			
17139		-2.261233	1.276591	9.339025	0.984915	0.128232	0.078975	-0.085219			
17140		-2.139977	1.425370	9.454110	0.983431	0.132836	0.076547	-0.096735			
17141		-2.056543	1.539935	9.512978	0.981739	0.137078	0.073675	-0.109410			
17142		-1.927708	1.704675	9.500272	0.979794	0.141237	0.070464	-0.122846			
17143		-1.866478	2.031768	9.477591	0.977643	0.144909	0.067195	-0.136746			
17144		-1.865714	2.239642	9.477504	0.975325	0.147745	0.064008	-0.151045			
17145		-1.827031	2.370910	9.417690	0.972823	0.149920	0.060853	-0.165641			
17146		-1.883291	2.363474	9.337849	0.970073	0.151849	0.057813	-0.180436			
17147		-1.963036	2.482870	9.255945	0.966959	0.153982	0.054789	-0.195647			
17148		-1.940141	2.475538	9.194487	0.963512	0.155886	0.052062	-0.211268			
17149		-1.988095	2.453605	9.133955	0.959639	0.158062	0.049494	-0.227289			
17150		-2.030610	2.428165	9.082560	0.955321	0.160557	0.046913	-0.243686			
17151		-1.987033	2.562561	9.063895	0.950516	0.163946	0.043992	-0.260205			
17152		-1.898142	2.841877	9.078999	0.945401	0.167502	0.041087	-0.276536			
17153		-1.938664	3.103402	9.034422	0.940194	0.170098	0.038536	-0.292603			
17154		-1.984233	3.004231	9.053446	0.934905	0.171562	0.036560	-0.308517			
17155		-2.066185	2.816654	9.003972	0.929307	0.173094	0.034605	-0.324391			
17156		-1.966067	3.050491	8.979788	0.923406	0.175242	0.032401	-0.339943			
17157		-1.960962	3.273048	8.977201	0.917430	0.176726	0.030826	-0.355163			
17158		-2.060633	3.076618	9.041772	0.911410	0.176789	0.030183	-0.370359			
17159		-2.216967	2.791546	9.089939	0.905106	0.176717	0.029539	-0.385593			
17160		-2.165774	2.689903	9.091577	0.898375	0.177586	0.028237	-0.400734			
17161		-2.223436	2.859619	9.043177	0.891251	0.179169	0.026626	-0.415765			
17162		-2.177860	2.976235	8.998954	0.883830	0.180733	0.025171	-0.430751			
17163		-2.281601	2.831579	9.077448	0.876104	0.182018	0.023750	-0.445811			
